run,model,dataset,cap,n,median,mean,min,max
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf100-430,10,100,1.6251,1.5890,0.6720,2.5605
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf100-430,10,100,1.1703,1.2155,0.5542,2.2184
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf100-430,10,100,1.1189,1.1443,0.5251,2.0552
Nov14_03-26-36_54337a27a809,gatqsat,uuf100-430,10,100,1.4404,1.4812,0.7075,2.8365
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf100-430,50,100,1.6987,1.7980,0.8629,4.0278
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf100-430,50,100,1.1859,1.2124,0.6157,2.2543
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf100-430,50,100,1.0288,1.0798,0.3856,2.1816
Nov14_03-26-36_54337a27a809,gatqsat,uuf100-430,50,100,1.4473,1.5044,0.6912,2.6048
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf100-430,100,100,1.9353,2.1530,0.8991,5.2029
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf100-430,100,100,1.1779,1.2213,0.4935,2.3600
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf100-430,100,100,1.0116,0.9845,0.4922,1.6863
Nov14_03-26-36_54337a27a809,gatqsat,uuf100-430,100,100,1.4635,1.4736,0.6911,2.6205
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf100-430,300,100,2.7417,2.8546,1.2550,5.2029
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf100-430,300,100,1.4308,1.5134,0.5386,3.3527
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf100-430,300,100,0.7747,0.7640,0.3769,1.4081
Nov14_03-26-36_54337a27a809,gatqsat,uuf100-430,300,100,1.4905,1.4680,0.6883,2.9392
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf100-430,500,100,2.7960,2.8791,1.2550,5.2029
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf100-430,500,100,1.6049,1.6556,0.5652,3.3527
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf100-430,500,100,0.5791,0.6111,0.2722,1.0908
Nov14_03-26-36_54337a27a809,gatqsat,uuf100-430,500,100,1.3931,1.4363,0.7046,2.9392
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf100-430,1000,100,2.7960,2.8791,1.2550,5.2029
